"","t","value"
"1","1",-0.4
"2","10",-0.38
"3","11",-0.38
"4","12",-0.38
"5","13",-0.38
"6","14",-0.37
"7","15",-0.37
"8","16",-0.37
"9","17",-0.37
"10","18",-0.37
"11","19",-0.37
"12","2",-0.4
"13","20",-0.37
"14","21",-0.37
"15","22",-0.37
"16","23",-0.37
"17","24",-0.37
"18","25",-0.37
"19","26",-0.37
"20","27",-0.37
"21","28",-0.37
"22","29",-0.37
"23","3",-0.4
"24","30",-0.37
"25","31",-0.37
"26","32",-0.37
"27","33",-0.37
"28","34",-0.37
"29","35",-0.37
"30","36",-0.37
"31","37",-0.37
"32","38",-0.37
"33","39",-0.37
"34","4",-0.4
"35","40",-0.37
"36","41",-0.37
"37","42",-0.37
"38","43",-0.37
"39","44",-0.37
"40","45",-0.37
"41","46",-0.37
"42","47",-0.37
"43","48",-0.37
"44","49",-0.37
"45","5",-0.4
"46","50",-0.37
"47","51",-0.37
"48","52",-0.37
"49","53",-0.37
"50","54",-0.37
"51","55",-0.37
"52","56",-0.37
"53","57",-0.37
"54","58",-0.37
"55","6",-0.4
"56","7",-0.4
"57","8",-0.4
"58","9",-0.39
