"","V1","V2","value"
"1","c2f6","ex",1
"2","c2f6","fac",0.0002599567
"3","c2f6","inter",1
"4","c2f6","stm",1
"5","c6f14","ex",1
"6","c6f14","fac",0.0004902925
"7","c6f14","inter",1
"8","c6f14","stm",1
"9","cf4","ex",1
"10","cf4","fac",5.615027e-05
"11","cf4","inter",1
"12","cf4","stm",1
"13","ch4","ex",0.5
"14","ch4","fac",0.035417
"15","ch4","inter",0.85
"16","ch4","stm",541.460765
"17","hfc125","ex",1
"18","hfc125","fac",0.0002300002
"19","hfc125","inter",1
"20","hfc125","stm",1
"21","hfc134a","ex",1
"22","hfc134a","fac",0.0001600462
"23","hfc134a","inter",1
"24","hfc134a","stm",1
"25","hfc143a","ex",1
"26","hfc143a","fac",0.000130003
"27","hfc143a","inter",1
"28","hfc143a","stm",1
"29","hfc227ea","ex",1
"30","hfc227ea","fac",0.0002603703
"31","hfc227ea","inter",1
"32","hfc227ea","stm",1
"33","hfc23","ex",1
"34","hfc23","fac",0.0001903149
"35","hfc23","inter",1
"36","hfc23","stm",1
"37","hfc245fa","fac",0.0002797802
"38","hfc32","ex",1
"39","hfc32","fac",0.0001105201
"40","hfc32","inter",1
"41","hfc32","stm",1
"42","hfc43-10","ex",1
"43","hfc43-10","fac",0.0004201641
"44","hfc43-10","inter",1
"45","hfc43-10","stm",1
"46","n2o","ex",0.5
"47","n2o","fac",0.174851
"48","n2o","inter",0.61361
"49","n2o","stm",228.950493
"50","sf6","ex",1
"51","sf6","fac",0.0004981509
"52","sf6","inter",1
"53","sf6","stm",1
"54","co2","alpha",5.34196
"55","co2","beta",589.472
