"ghg","V2","value"
"hfc143a","atm",23.0189709917367
"hfc227ea","atm",1.2643591406171
"sf6","atm",8.37804748494904
"hfc134a","atm",82.5692272195209
"hfc125","atm",18.6300612264566
"hfc43-10","atm",0.247253295775127
"hfc32","atm",13.8857130911867
"hfc23","atm",37.8574471927042
"c6f14","atm",0.25553030527676
"c2f6","atm",4.51023074171572
"cf4","atm",79.9489720126485
"ch4","atm",5.02851530818543
"n2o","atm",1.58058469857725
"hfc245fa","atm",17.3176049749379
"co2","atm",859.859841473786
"co2","upp",421.851119221974
"co2","low",165.882888989548
